ASN,ORG,COUNTRY
0,-Reserved AS-,ZZ
73,WASHINGTON-AS,US
81,NCREN,US
92,CLARKSON-AS,US
103,NWU-AS,US
156,NORTHEASTERN-GW-AS,US
174,COGENT-174,US
209,CENTURYLINK-US-LEGACY-QWEST,US
237,MERIT-AS-14,US
577,BACOM,CA
701,UUNET,US
714,APPLE-ENGINEERING,US
1249,FIVE-COLLEGES-AS,US
1257,TELE2,EU
1312,VA-TECH-AS,US
1422,MEDIA6-ASN,US
2044,IINET-2044,US
2110,AS-BTIRE BT Ireland was previously known as Esat Net. EUnet Ireland & IEUnet.,EU
2129,HP-EUROPE-AS-TRADE,GB
2386,INS-AS,US
2828,XO-AS15,US
2856,BT-UK-AS BTnet UK Regional network,GB
2914,NTT-COMMUNICATIONS-2914,US
3257,GTT-BACKBONE GTT,DE
3356,LEVEL3,US
3549,LVLT-3549,US
3561,CENTURYLINK-LEGACY-SAVVIS,US
3900,TEXASNET-ASN,US
3912,CHECS,US
4264,CERNET-ASN-BLOCK,US
4269,CERNET-ASN-BLOCK,US
4515,ERX-STAR HKT Limited,HK
4739,INTERNODE-AS Internode Pty Ltd,AU
4812,CHINANET-SH-AP China Telecom (Group),CN
5078,ONENET-AS-1,US
5539,SPACENET SpaceNET AG,DE
5650,FRONTIER-FRTR,US
5662,ASN-TBS-1,US
5739,UCSC,US
6079,RCN-AS,US
6128,CABLE-NET-1,US
6130,AIS-WEST,US
6334,ASN-TSG,US
6336,TURN-US-ASN,US
6539,GT-BELL,CA
6641,SPORTSLINE,US
7018,ATT-INTERNET4,US
7029,WINDSTREAM,US
7045,WEATHER,US
7105,DOWJONES-AS,US
7160,NETDYNAMICS,US
7334,WALLSTREET,US
7342,VERISIGN-AS,US
7349,AS-TIERP-7349,US
7381,SRS-6-Z-7381,US
7385,ALLSTREAM,US
7922,COMCAST-7922,US
8025,BRIGHTOK-AS,US
8075,MICROSOFT-CORP-MSN-AS-BLOCK,US
8137,DISNEYONLINE-AS,US
8708,RCS-RDS 73-75 Dr. Staicovici,RO
8972,GD-EMEA-DC-SXB1,DE
9299,IPG-AS-AP Philippine Long Distance Telephone Company,PH
9313,ONTHENET-AS Network Technology (AUST) P/L,AU
9503,FX-PRIMARY-AS FX Networks Limited,NZ
9506,SINGTEL-FIBRE Singtel Fibre Broadband,SG
9605,DOCOMO NTT DOCOMO. INC.,JP
9885,NKN-INTERNET-GW NKN INTERNET GATEWAY NETWORK,IN
10297,ENET-2,US
10310,YAHOO-1,US
10357,JMUNET,US
10561,BRANDEIS,US
10782,HP-DIGITAL-10782,US
10796,TWC-10796-MIDWEST,US
10835,VISIONARY,US
10912,INTERNAP-BLK,US
10913,INTERNAP-BLK,US
11054,LIVEPERSON,US
11232,MIDCO-NET,US
11303,DATARETURN,US
11426,TWC-11426-CAROLINAS,US
11427,TWC-11427-TEXAS,US
11483,CONVIVA-AS,US
11776,ATLANTICBB-JOHNSTOWN,US
11799,AS11799,US
11834,DREXEL-ASN,US
11855,ASN-INTERNAP-BLK,US
12025,IMDC-AS12025,US
12083,WOW-INTERNET,US
12182,INTERNAP-2BLK,US
12271,TWC-12271-NYC,US
12282,GMA,US
13326,TUFTS-UNIVERSITY,US
13335,CLOUDFLARENET,US
13360,TRITONDIGITAL,CA
13414,TWITTER,US
13476,MSU-BOZEMAN,US
13649,ASN-VINS,US
13768,COGECO-PEER1,CA
13789,INTERNAP-BLK3,US
13838,EMERSON,US
13902,XAXIS-AS2,US
14215,SABRE-HOLDINGS-CORPORATION,US
14340,SALESFORCE,US
14492,DATAPIPE,US
14609,EQUINIX-CORP-AS,US
14618,AMAZON-AES,US
14742,INTERNAP-BLOCK-4,US
14745,INTERNAP-BLOCK-4,US
14776,YAHOO,US
15133,EDGECAST,US
15169,GOOGLE,US
15224,OMNITURE,US
15244,ADDD2NET-INC,US
15395,RACKSPACE-LON,GB
15557,LDCOMNET,FR
15830,EQUINIX-CONNECT-EMEA,GB
16477,ACNIELSEN-AS,US
16509,AMAZON-02,US
16526,BIRCH-TELECOM,US
16583,CFCS,CA
16625,AKAMAI-AS,US
16815,GOTO-PRIMARY-AS,US
17152,BATES,US
17223,LATISYS-CHICAGO,US
17225,ATT-CERFNET-BLOCK,US
17233,ATT-CERFNET-BLOCK,US
17252,AS2-COLOAM,US
18566,MEGAPATH5-,US
18881,TELEFONICA BRASIL S.A,BR
18908,BRIGHTCOVE-AS,US
19024,INTERNAP-BLK5,US
19453,TWRS-RI,US
19604,IBM-RALEIGH-CL,US
19606,-Reserved AS-,ZZ
19679,DROPBOX,US
19750,AS-CRITEO,US
19994,RACKSPACE,US
20001,TWC-20001-PACWEST,US
20093,ZEROLAG,US
20115,CHARTER-20115,US
20940,AKAMAI-ASN1,EU
21534,AS21534,US
21777,MASSIVE-NETWORKS,US
21866,GOTO-OFFICES,US
22773,ASN-CXA-ALL-CCI-22773-RDC,US
22822,LLNW,US
23148,TERRENAP,US
23342,UNITEDLAYER,US
23352,SERVERCENTRAL,US
23498,CDSI,CA
24183,DTS-ISP-CORE1-AP DTS LTD,NZ
24481,CONNECTBD-AS ConnectBD Ltd. Internet Service provider. House # 41. Road1/A. BlockI. Banani. Dhaka,BD
24560,AIRTELBROADBAND-AS-AP Bharti Airtel Ltd.. Telemedia Services,IN
25751,VALUECLICK,US
26101,YAHOO-BF1,US
26228,SERVEPATH,US
26496,AS-26496-GO-DADDY-COM-LLC,US
26558,FREEWHEEL,US
26914,SYNOPTEK,US
26934,UNIVERSITY-OF-MISSOURI---COLUMBIA,US
27357,RACKSPACE,US
27552,TWDX,US
28573,CLARO S.A.,BR
29791,VOXEL-DOT-NET,US
29838,AMC,US
29944,LATISYS-ASHBURN,US
29990,ASN-APPNEX,US
30036,MEDIACOM-ENTERPRISE-BUSINESS,US
30176,AS-PRIORITYCOLO,CA
30282,AS-INAPCDN-OCY,US
30419,MEDIAMATH-INC,US
32286,TRIPADVISOR,US
32400,HWSERVICES-32400,US
32432,COFAN,US
32489,AMANAHA-NEW,CA
32726,LIBERTY,US
32748,STEADFAST,US
32787,PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK,US
32880,WEST-IP-COMMUNICATIONS,US
32934,FACEBOOK,US
33070,RMH-14,US
33182,DIMENOC,US
33363,BHN-33363,US
33419,TRIBAL-FUSION,US
33438,HIGHWINDS2,US
33517,DYNDNS,US
33588,BRESNAN-33588,US
33739,MYSPACE,US
33915,TNF-AS,NL
34164,AKAMAI-LON,GB
35838,CCANET,GB
35994,AKAMAI-AS,US
36062,DOUBLE-VERIFY,US
36351,SOFTLAYER,US
36646,YAHOO-NE1,US
36647,YAHOO-GQ1,US
38477,SOLARIX-NZ Solarix Networks Limited,NZ
39122,BLACKNIGHT-AS,IE
39651,COMHEM-SWEDEN,SE
40034,CONFLUENCE-NETWORK-INC,VG
40402,LITHIUM,US
40428,PANDORA-EQX-SJL,US
41041,VCLK-EU-,SE
43515,YOUTUBE YOUTUBE,IE
45459,WEB-DRIVE-NZ-AS-AP Web Drive Limited,NZ
46589,COREMETRICS-1,US
46790,PHS-WA,US
46925,PAVLOVMEDIA-SE,US
53590,ROSETTASTONE,US
54021,FIXFLYER1,US
54113,FASTLY,US
54312,ROCKETFUEL,US
54986,FLOWERS,US
60781,LEASEWEB-NL-AMS-01 Netherlands,NL
63949,LINODE-AP Linode. LLC,US
397751,JAMESAVERY,US
